Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773033671915,0,1,1,135,0.6879925,0.5426716,-0.4818443,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,0.6356222,0.5013632,-0.4451661,0.3826834,135,0.6879925,0.5426716,-0.4818443
Trial Start,1773033677268,0,1,1,135,0.6879925,0.5426716,-0.4818443,1,-0.05014256,0.9999498,0.299878,1.045151,0.001703739,-0.001923031,-0.00194646,0.9999949,0.3669079,0.5321068,-0.6005955,-0.6079127,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1001426,5.024672E-05,0.0001220405,0.1001426,0.6367989,0.5016178,-0.4423424,0.3836668,134.878,0.6895705,0.5431869,-0.4789993
Grab,1773033677378,0.1120412,1,1,135,0.6879925,0.5426716,-0.4818443,1,-0.05328656,1.001272,0.294896,1.045155,-0.03753009,-0.02485312,0.06820162,0.9966556,9.374434,-0.4592746,-0.3041401,0.8346174,0.1157645,-0.07327717,0.01584598,0.1379205,0.7493795,0.5415072,0.2707411,0.268141,148.8927,0.7778652,0.5620912,0.2810327,0.09964862,-0.4832471,-0.108708,0.5052475,-0.2860579,-0.3193322,0.8806698,-0.20154,203.2541,-0.2920507,-0.3260221,0.8991196,0.1032866,-0.001272202,0.005103976,0.1034204,0.6247286,0.5358407,-0.4727959,0.3147272,143.3113,0.6581755,0.5645287,-0.4981086
Release,1773033678086,0.8202237,1,1,135,0.6879925,0.5426716,-0.4818443,1,-0.06739067,0.9663483,0.2650891,1.004312,-0.2855789,0.6191353,0.3533169,0.6405337,100.3367,-0.3718814,0.8062392,0.46009,0.1254635,-0.07159324,0.01787292,0.1455545,0.7262723,0.5161213,0.4531409,0.02847355,176.7367,0.7265669,0.5163307,0.4533247,0.1099314,-0.4368551,-0.1018742,0.4618503,-0.8202407,-0.423444,0.2425601,-0.2984371,214.7275,-0.8594045,-0.443662,0.2541416,0.1173907,0.03365171,0.03491092,0.1270109,0.06366564,0.1816533,-0.9570673,0.2167283,154.9661,0.06521568,0.186076,-0.9803686
Grab,1773033678754,1.488257,1,1,135,0.6879925,0.5426716,-0.4818443,1,-0.0686008,0.9469584,0.274525,0.988332,-0.09002692,0.4476798,-0.09953419,0.884065,55.72663,-0.192627,0.9578826,-0.2129694,0.1088079,-0.067159,0.01098766,0.1283364,0.347523,0.7299529,0.5879667,0.02630125,176.9857,0.3476433,0.7302055,0.5881702,0.09767092,-0.4278723,-0.08584776,0.4471959,-0.6262771,-0.446536,0.634183,0.0787043,170.9718,-0.6282259,-0.4479255,0.6361564,0.1186008,0.05304164,0.025475,0.1323954,0.4469941,0.1685749,-0.6851571,0.5498533,113.2861,0.5351548,0.201823,-0.8202907
Release,1773033679392,2.127096,1,1,135,0.6879925,0.5426716,-0.4818443,1,-0.07532874,0.9255971,0.2393681,0.9590107,-0.6170379,0.5358375,0.1480766,0.5569702,112.3069,-0.7429425,0.6451734,0.1782912,0.118096,-0.06477749,0.01549471,0.1355835,0.3686107,0.6704242,0.6382611,0.08532475,170.2106,0.3699599,0.672878,0.6405972,0.1107931,-0.3886041,-0.09363353,0.4147957,-0.6088348,-0.7434763,0.1231714,-0.2477735,208.6916,-0.6284305,-0.7674056,0.1271357,0.1253287,0.07440287,0.06063195,0.1578585,0.277376,-0.1063753,-0.954561,0.02367081,177.2873,0.2774537,-0.1064051,-0.9548285
Grab,1773033680005,2.73861,1,1,135,0.6879925,0.5426716,-0.4818443,1,-0.07418805,0.9278657,0.239977,0.9612636,-0.5744977,0.5179361,0.1586931,0.6136051,104.2987,-0.7275686,0.6559365,0.2009758,0.1148054,-0.0672736,0.02463145,0.1353245,0.1045807,0.06827839,0.9921228,0.00966437,178.8925,0.1045856,0.06828158,0.9921692,0.1100184,-0.3903731,-0.09416043,0.4163669,-0.6190951,-0.7254686,0.1816158,-0.2396502,207.7318,-0.6376775,-0.7472438,0.1870671,0.1241881,0.07213426,0.06002301,0.155656,0.2997413,-0.04544453,-0.9511291,0.05868228,173.2716,0.3002587,-0.04552297,-0.9527709
Release,1773033680379,3.112864,1,1,135,0.6879925,0.5426716,-0.4818443,1,-0.06842178,0.9637725,0.2165138,0.9901602,-0.6722912,0.6439441,0.3618873,0.0489716,174.386,-0.6730988,0.6447176,0.362322,0.1046546,-0.06303047,0.0364743,0.1274982,0.1469394,0.1514762,0.9774782,0.0005864965,179.9328,0.1469394,0.1514762,0.9774783,0.1324012,-0.4035171,-0.1304628,0.444271,-0.6127051,-0.6045242,-0.3913456,-0.3255635,217.9994,-0.6480085,-0.6393562,-0.4138945,0.1184218,0.03622752,0.08348618,0.1493523,-0.1796969,-0.2911318,-0.906656,-0.2468327,208.5803,-0.1854346,-0.3004276,-0.9356053
Grab,1773033681756,4.489191,1,1,135,0.6879925,0.5426716,-0.4818443,1,-0.03090288,0.956545,0.2385301,0.9863214,-0.5385695,0.4188348,0.5954354,0.4242369,129.7953,-0.5947421,0.4625191,0.6575391,0.1160358,-0.05562507,0.01608055,0.1296805,0.5865933,0.4168234,0.6813602,0.1338474,164.6161,0.5919193,0.420608,0.6875467,0.09063379,-0.415119,-0.1374774,0.4465851,-0.6141406,-0.4880525,-0.01001815,-0.6201094,256.6483,-0.7828281,-0.6221071,-0.01276986,0.08090288,0.043455,0.06146991,0.1105087,-0.009224482,0.1911347,-0.9529588,-0.2350576,207.19,-0.009490389,0.1966444,-0.980429
Release,1773033682464,5.198015,1,1,135,0.6879925,0.5426716,-0.4818443,1,-0.01319153,0.9266513,0.2004767,0.9481812,0.08893403,0.411665,0.3820784,0.8225806,69.31209,0.1563954,0.7239357,0.6719061,0.1003784,-0.05729088,0.03682742,0.1213026,0.7547868,0.5614094,0.3334556,0.06264144,172.8171,0.756272,0.5625141,0.3341117,0.0807097,-0.3674677,-0.1570908,0.4077059,-0.7501709,-0.1152015,0.5810747,-0.2938101,214.1724,-0.7848095,-0.1205208,0.6079053,0.06319153,0.0733487,0.09952331,0.1388456,0.1139975,0.5373222,-0.7294752,0.4076217,131.889,0.1248397,0.5884265,-0.798855
