Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,-0.987874,0.08973086,0.1267015,1,4.21345,FALSE,-0.001446422,-0.000720978,0.004867047,0.005128362,-0.05574942,-0.0143833,0.0293823,0.9979088,7.412148,-0.862483,-0.2225199,0.454565,0.216736,0.1687798,0.1824729,0.5435619,382.7367,0,0,0.05127412,0.02552663,0.02918809,0.1663649,45.76131,0,0,0.281569,198.6844,0.08207881,38.52976
1,3,135,0.2751009,-0.4901247,-0.8271017,1,3.055806,FALSE,0.000303,0.002964258,0.002080202,0.003633989,-0.03074029,0.02129425,0.02856351,-0.9988923,354.6059,-0.6532902,0.4525435,0.6070293,0.05964762,0.08665518,0.09108588,0.2389861,170.8503,0,0,0.02666407,0.01636078,0.01616226,0.06146088,11.85643,0,0,0.2347325,170.8422,0.06903726,26.15897
1,4,135,0.02932085,0.537179,0.8429585,0.9999999,5.361308,FALSE,0.000163283,-0.002384424,0.008508861,0.008838148,-0.01532053,0.0204889,0.01167387,-0.9996046,356.7774,-0.544854,0.7286602,0.4151654,0.2710404,0.3236104,0.391655,0.8093834,555.1329,0,0,0.04670903,0.04616807,0.03999525,0.111866,30.3456,0,0,0.5160488,380.926,0.108627,41.47676
1,5,135,-0.4273688,-0.8672823,0.2552986,1,11.20876,FALSE,8.66E-05,0.000935018,0.004654139,0.004747922,-0.005132257,0.07387001,0.02896249,-0.9968341,350.8792,-0.06454884,0.9290695,0.3642637,0.8301045,0.7388747,0.8045749,1.60535,901.7916,0,0,0.1107602,0.0894389,0.07231634,0.2360512,63.88158,0,0,1.044991,640.5041,0.2680888,75.78432
1,6,135,0.4433612,0.1863482,0.8767583,1,9.081381,FALSE,-0.002465662,-0.005258799,0.004545271,0.007375225,-0.03181927,0.04220823,0.01184254,-0.9985318,353.7897,-0.5874137,0.7792037,0.2186244,0.5294898,0.6138752,0.7159103,1.643861,805.5489,0,0,0.06932461,0.0565406,0.05110344,0.1784059,44.3963,0,0,0.9130187,561.1117,0.2006206,65.87823
1,7,135,-0.3109645,-0.8906258,-0.3317934,1,10.5282,FALSE,0.003879365,-0.00205195,0.006224453,0.007616022,-0.03191698,0.0427451,-0.005326687,0.9985619,6.146394,-0.595338,0.7973118,-0.09935714,0.360848,0.3936729,0.4857044,1.140353,578.264,0,0,0.06568629,0.06264141,0.06014812,0.1791127,34.4374,0,0,0.5418129,374.4639,0.1699479,47.26734
1,8,135,0.2686839,-0.9485847,-0.1673197,0.9999999,5.583254,FALSE,-0.001155805,-0.003124237,0.007774919,0.008458493,0.02770557,0.03804656,0.01986336,-0.9986944,354.1437,0.5423556,0.7447876,0.3888389,0.2318481,0.247462,0.2996071,0.6482121,365.6848,0,0,0.04258103,0.05825406,0.07051994,0.1566611,50.5412,0,0,0.4544969,224.0425,0.3104875,79.27998
1,9,135,0.1798022,0.2313928,-0.9561007,1,7.082763,FALSE,0.00073716,-0.002372861,0.006940961,0.0073723,-0.004167381,-0.04200316,0.003917209,0.9991012,4.858932,-0.0983124,-0.9908937,0.09241062,0.3894948,0.3529219,0.4769329,1.197634,672.7226,0,0,0.08151551,0.06848324,0.07795865,0.3368788,115.0593,0,0,0.6549034,482.1571,0.1878143,77.44073
1,10,135,0.3633902,-0.6501122,0.6673093,1,6.874714,FALSE,0.001348142,-0.002324581,0.006742597,0.007258359,0.005214182,0.03437929,-0.01881736,-0.9992182,355.4684,0.1318854,0.8695757,-0.4759587,0.4179755,0.5198804,0.530103,1.547371,668.8881,0,0,0.08159745,0.0705855,0.06885845,0.189045,50.95448,0,0,0.6181065,395.9477,0.2356408,61.32232
1,11,135,-0.01698363,-0.789881,0.613025,1,6.541644,FALSE,-0.002068792,0.001059413,0.004989237,0.005504065,0.01098116,0.06015376,-0.001353385,-0.9981278,352.9869,0.1795409,0.9835079,-0.02212771,0.4765198,0.3811103,0.497133,1.062484,479.9138,0,0,0.07175413,0.0790426,0.08345675,0.1756708,59.97386,0,0,0.5735894,285.196,0.3302598,82.69154
