Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773109452287,0,1,1,135,-0.987874,0.08973086,0.1267015,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.9126766,0.08290051,0.1170569,0.3826835,135,-0.9878741,0.08973087,0.1267015
Trial Start,1773109460214,0,1,1,135,-0.987874,0.08973086,0.1267015,1,-1,-0.04817166,1.002624,0.3013437,1.048038,-0.002186158,-0.004137001,0.01598067,-0.9998614,358.0918,-0.1312869,-0.2484424,0.9596989,0.09817167,-0.002624273,-0.001343727,0.09821593,0.9115776,-0.09563513,-0.1271132,-0.3791074,224.5568,0.9851137,-0.1033499,-0.1373673
On Target,1773109463423,3.214461,1,1,135,-0.987874,0.08973086,0.1267015,1,-1,0.05574113,1.004957,0.2969604,1.049396,-0.8818912,0.14046,0.1576713,0.4215195,130.1389,-0.9725103,0.1548931,0.1738729,-0.005741131,-0.004957199,0.003039658,0.008171531,-0.04385503,-0.05947902,0.04408894,0.9962907,9.872915,-0.5096411,-0.6912081,0.5123593
Trial End,1773109464423,4.21345,1,2,135,-0.987874,0.08973086,0.1267015,1,-1,0.05144642,1.000721,0.295133,1.044602,-0.8853141,0.1085221,0.123317,0.4350114,128.428,-0.9832181,0.1205232,0.1369542,-0.001446422,-0.0007209778,0.004867047,0.005128362,-0.05574942,-0.0143833,0.0293823,0.9979088,7.412148,-0.862483,-0.2225199,0.454565
Trial Load,1773109464424,4.21345,1,2,135,0.2751009,-0.4901247,-0.8271017,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.2541601,-0.4528162,-0.7641424,0.3826834,135,0.2751009,-0.4901247,-0.8271018
Trial Start,1773109465603,0,1,2,135,0.2751009,-0.4901247,-0.8271017,1,-1,-0.04947951,1.002327,0.29853,1.047009,0.00995471,0.00483167,0.008076995,-0.9999062,358.4303,0.7267268,0.3527279,0.5896474,0.09947951,-0.002327323,0.00146997,0.09951759,-0.2579805,0.4605844,0.7552441,-0.3884773,225.7196,-0.2799698,0.4998429,0.8196183
On Target,1773109467325,1.736259,1,2,135,0.2751009,-0.4901247,-0.8271017,1,-1,0.05291047,1.002853,0.2837324,1.04356,-0.2292189,0.4601234,0.7263553,-0.456238,234.2892,-0.2575904,0.5170752,0.81626,-0.002910465,-0.002852917,0.0162676,0.01677035,-0.05093361,0.03996504,0.05751565,-0.9962432,350.064,-0.5881543,0.4614951,0.6641602
Off Target,1773109467423,1.83362,1,2,135,0.2751009,-0.4901247,-0.8271017,1,-1,0.04709552,1.007829,0.2811438,1.047367,-0.2253047,0.4696448,0.7346148,-0.4347558,231.5395,-0.2501861,0.5215098,0.8157417,0.002904478,-0.007828593,0.01885617,0.02062227,-0.05050725,0.03168409,0.03374701,-0.9976504,352.1432,-0.7372286,0.4624765,0.4925879
On Target,1773109467658,2.069533,1,2,135,0.2751009,-0.4901247,-0.8271017,1,-1,0.04509885,1.008603,0.2827885,1.048467,-0.2275051,0.460437,0.7368697,-0.4396161,232.1588,-0.2532941,0.51263,0.8203979,0.004901152,-0.008602619,0.0172115,0.01985603,-0.04284333,0.03630027,0.03993481,-0.9976232,352.0978,-0.621772,0.5268146,0.5795616
Trial End,1773109468644,3.055806,1,3,135,0.2751009,-0.4901247,-0.8271017,1,-1,0.049697,0.9970357,0.2979198,1.04178,-0.2387769,0.4603959,0.7438576,-0.4215414,229.8639,-0.2633155,0.5077097,0.8203022,0.0003030002,0.002964258,0.002080202,0.003633989,-0.03074029,0.02129425,0.02856351,-0.9988923,354.6059,-0.6532902,0.4525435,0.6070293
Trial Load,1773109468644,3.055806,1,3,135,0.02932085,0.537179,0.8429585,0.9999999,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.02708894,0.4962887,0.7787921,0.3826834,135,0.02932086,0.5371791,0.8429586
Trial Start,1773109469603,0,1,3,135,0.02932085,0.537179,0.8429585,0.9999999,-1,-0.0485185,1.0007,0.3014646,1.046249,0.0001894661,-0.001202687,-0.006682512,0.9999769,0.7783304,0.02789465,-0.1770688,-0.9838508,0.09851851,-0.0007002354,-0.001464605,0.09853188,0.02939562,0.4964089,0.7814581,0.3768786,135.7191,0.03173573,0.5359268,0.8436679
On Target,1773109473964,4.375216,1,3,135,0.02932085,0.537179,0.8429585,0.9999999,-1,0.04851115,1.009787,0.2834108,1.049926,-0.03752702,-0.5375748,-0.7496207,-0.3842835,225.1985,-0.0406482,-0.5822855,-0.8119676,0.001488846,-0.009786606,0.01658922,0.0193183,-0.04267956,0.02392469,-0.01647148,-0.9986665,354.0815,-0.8267193,0.4634304,-0.3190589
Trial End,1773109474949,5.361308,1,4,135,0.02932085,0.537179,0.8429585,0.9999999,-1,0.04983672,1.002384,0.2914912,1.045096,-0.0313783,-0.5161809,-0.7747931,-0.3636872,222.6536,-0.03368501,-0.5541269,-0.8317504,0.0001632832,-0.002384424,0.008508861,0.008838148,-0.01532053,0.0204889,0.01167387,-0.9996046,356.7774,-0.544854,0.7286602,0.4151654
Trial Load,1773109474951,5.361308,1,4,135,-0.4273688,-0.8672823,0.2552986,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.3948373,-0.8012643,0.2358652,0.3826835,135,-0.4273689,-0.8672823,0.2552986
Trial Start,1773109476769,0,1,4,135,-0.4273688,-0.8672823,0.2552986,1,-1,-0.04973262,0.9999027,0.3003157,1.045212,-0.00209648,0.001728619,-0.0005010181,0.9999962,0.3165176,-0.7590068,0.625827,-0.1813879,0.09973262,9.733438E-05,-0.000315696,0.09973317,-0.3940273,-0.8012305,0.2384184,0.3820065,135.0839,-0.4263628,-0.8669828,0.257984
On Target,1773109486977,10.2225,1,4,135,-0.4273688,-0.8672823,0.2552986,1,-1,0.04695257,0.988521,0.303474,1.035121,-0.4009167,-0.7768461,0.190175,0.4467766,126.9259,-0.4481291,-0.8683284,0.2125702,0.003047433,0.01147896,-0.003473997,0.01237425,-0.05383039,-0.04122593,0.04711463,0.9965857,9.472055,-0.6519757,-0.4993147,0.5706367
Trial End,1773109487964,11.20876,1,5,135,-0.4273688,-0.8672823,0.2552986,1,-1,0.04991344,0.999065,0.2953459,1.043001,0.3549214,0.7806837,-0.2794808,-0.4318036,231.1642,0.3934968,0.865534,-0.3098568,8.656457E-05,0.0009350181,0.004654139,0.004747922,-0.005132257,0.07387001,0.02896249,-0.9968341,350.8792,-0.06454884,0.9290695,0.3642637
Trial Load,1773109487964,11.20876,1,5,135,0.4433612,0.1863482,0.8767583,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.4096123,0.1721633,0.8100191,0.3826834,135,0.4433612,0.1863482,0.8767583
Trial Start,1773109488866,0,1,5,135,0.4433612,0.1863482,0.8767583,1,-1,-0.04750023,1.003395,0.2971778,1.047555,0,0,0,1,0,1,0,0,0.09750023,-0.003394842,0.00282225,0.09760013,0.4096123,0.1721633,0.8100191,0.3826834,135,0.4433612,0.1863482,0.8767583
On Target,1773109496295,7.442388,1,5,135,0.4433612,0.1863482,0.8767583,1,-1,0.05461213,0.995575,0.2914665,1.0388,0.4501721,0.2251951,0.7643726,0.4029475,132.4749,0.4918715,0.2460549,0.8351763,-0.004612129,0.004424989,0.008533478,0.01066173,0.04359423,-0.06835719,0.01914288,0.9965242,9.557047,0.5233138,-0.8205732,0.2297949
Off Target,1773109496420,7.56768,1,5,135,0.4433612,0.1863482,0.8767583,1,-1,0.05631601,0.9930335,0.2940057,1.037172,-0.4442574,-0.2437217,-0.7739672,-0.3797498,224.6364,-0.480232,-0.2634575,-0.8366407,-0.00631601,0.006966531,0.00599432,0.01115152,-0.04971071,0.07071974,0.01192645,-0.9961854,349.9878,-0.5696736,0.8104324,0.1366744
On Target,1773109496463,7.609058,1,5,135,0.4433612,0.1863482,0.8767583,1,-1,0.0552638,0.9934151,0.2936715,1.037386,-0.4371553,-0.2480997,-0.7776635,-0.3775994,224.3701,-0.4721058,-0.2679352,-0.8398376,-0.005263802,0.006584942,0.006328464,0.01054128,-0.05445763,0.06549848,0.01809882,-0.9962012,350.0086,-0.6253659,0.7521538,0.2078384
Off Target,1773109496490,7.636884,1,5,135,0.4433612,0.1863482,0.8767583,1,-1,0.05474567,0.9938822,0.2941135,1.037931,-0.4342225,-0.2500546,-0.7788036,-0.3773441,224.3385,-0.4688858,-0.2700161,-0.8409742,-0.004745666,0.006117821,0.005886495,0.009726248,-0.05686266,0.06344789,0.02004755,-0.9961622,349.9574,-0.6496658,0.7249032,0.2290467
On Target,1773109496948,8.094781,1,5,135,0.4433612,0.1863482,0.8767583,1,-1,0.05206207,0.9976853,0.2989094,1.042801,-0.4363263,-0.2470685,-0.777283,-0.3800102,224.6686,-0.4717132,-0.2671062,-0.840322,-0.002062071,0.002314746,0.001090586,0.003286269,-0.05499256,0.06417315,0.01572076,-0.9962984,350.1373,-0.6397327,0.7465312,0.1828808
Trial End,1773109497935,9.081381,1,6,135,0.4433612,0.1863482,0.8767583,1,-1,0.05246566,1.005259,0.2954547,1.049091,-0.4289849,-0.218688,-0.7905946,-0.3782957,224.4563,-0.4634243,-0.2362446,-0.8540646,-0.002465662,-0.005258799,0.004545271,0.007375225,-0.03181927,0.04220823,0.01184254,-0.9985318,353.7897,-0.5874137,0.7792037,0.2186244
Trial Load,1773109497935,9.081381,1,6,135,-0.3109645,-0.8906258,-0.3317934,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.2872937,-0.8228309,-0.3065372,0.3826834,135,-0.3109645,-0.8906258,-0.3317935
Trial Start,1773109499017,0,1,6,135,-0.3109645,-0.8906258,-0.3317934,1,-1,-0.05012903,0.9994134,0.3022573,1.045323,0.006445831,0.002251622,0.003805046,-0.9999695,359.1048,0.8250663,0.2882076,0.4870459,0.100129,0.0005866289,-0.002257317,0.1001562,0.2872589,0.8228268,0.3004147,-0.3875426,225.6034,0.3116108,0.8925804,0.3258818
On Target,1773109503422,4.417689,1,6,135,-0.3109645,-0.8906258,-0.3317934,1,-1,0.05127367,1.000898,0.2997599,1.04608,-0.2711257,-0.8359224,-0.3557522,0.3180646,142.9082,-0.2859767,-0.8817104,-0.3752387,-0.001273673,-0.0008984804,0.0002401471,0.00157708,-0.0241053,0.07727551,0.02157722,0.9964847,9.61109,-0.2877407,0.9224241,0.2575634
Off Target,1773109504324,5.320544,1,6,135,-0.3109645,-0.8906258,-0.3317934,1,-1,0.04966595,1.001254,0.2991359,1.046163,-0.2699964,-0.8552688,-0.3209589,0.304307,144.567,-0.2834388,-0.8978502,-0.3369385,0.0003340468,-0.001253605,0.0008641183,0.001558786,0.01397445,0.08634943,0.005992264,0.9961489,10.06006,0.1593843,0.9848498,0.06834417
On Target,1773109505102,6.098038,1,6,135,-0.3109645,-0.8906258,-0.3317934,1,-1,0.04874001,0.9971167,0.301591,1.042868,-0.2640386,-0.8474733,-0.3388898,0.3118114,143.6631,-0.2778933,-0.891942,-0.3566721,0.00125999,0.002883255,-0.001590997,0.003525905,-0.007605234,0.08416916,0.007891123,0.9963911,9.738173,-0.08960035,0.991631,0.09296853
Off Target,1773109505879,6.875722,1,6,135,-0.3109645,-0.8906258,-0.3317934,1,-1,0.04886117,0.9949687,0.3002962,1.040446,-0.2570834,-0.835633,-0.3619726,0.3234213,142.2601,-0.2716852,-0.8830949,-0.3825317,0.001138829,0.005031288,-0.0002962351,0.005167063,-0.03622501,0.07884864,0.01084432,0.9961691,10.03346,-0.4142526,0.901677,0.1240107
On Target,1773109506420,7.41732,1,6,135,-0.3109645,-0.8906258,-0.3317934,1,-1,0.04917715,0.9962215,0.2996693,1.041479,-0.2585071,-0.83423,-0.3629286,0.3248342,142.0889,-0.2733295,-0.8820635,-0.3837384,0.0008228458,0.003778458,0.0003306866,0.00388113,-0.03730285,0.07698743,0.01235157,0.9962574,9.917187,-0.4315672,0.8906893,0.1428988
Off Target,1773109506462,7.459028,1,6,135,-0.3109645,-0.8906258,-0.3317934,1,-1,0.04854901,0.9965963,0.2989445,1.041599,-0.2587115,-0.8351423,-0.3627305,0.3225405,142.3667,-0.2733188,-0.8822961,-0.3832109,0.001450989,0.003403664,0.001055479,0.00384764,-0.03612296,0.07910427,0.01288493,0.9961283,10.0869,-0.4109023,0.8998191,0.1465674
